Point_ID,Annotation,Region,X,Y,Z
0,0,0,41891,41076,0
1,0,0,41823,41076,0
2,0,0,41732,41076,0
3,0,0,41642,41076,0
4,0,0,41574,41076,0
5,0,0,41506,41076,0
6,0,0,41438,41076,0
7,0,0,41393,41076,0
8,0,0,41302,41076,0
9,0,0,41234,41076,0
10,0,0,41144,41076,0
11,0,0,41008,41099,0
12,0,0,40872,41099,0
13,0,0,40781,41099,0
14,0,0,40691,41099,0
15,0,0,40600,41122,0
16,0,0,40555,41122,0
17,0,0,40510,41122,0
18,0,0,40419,41122,0
19,0,0,40306,41122,0
20,0,0,40193,41122,0
21,0,0,40079,41122,0
22,0,0,39989,41122,0
23,0,0,39921,41122,0
24,0,0,39808,41122,0
25,0,0,39717,41122,0
26,0,0,39627,41099,0
27,0,0,39536,41099,0
28,0,0,39445,41099,0
29,0,0,39332,41099,0
30,0,0,39196,41076,0
31,0,0,39060,41054,0
32,0,0,38970,41054,0
33,0,0,38879,41054,0
34,0,0,38834,41054,0
35,0,0,38789,41054,0
36,0,0,38698,41054,0
37,0,0,38585,41054,0
38,0,0,38472,41054,0
39,0,0,38358,41054,0
40,0,0,38268,41054,0
41,0,0,38200,41054,0
42,0,0,38132,41031,0
43,0,0,38041,41031,0
44,0,0,37973,41031,0
45,0,0,37883,41031,0
46,0,0,37792,41009,0
47,0,0,37724,41009,0
48,0,0,37634,40986,0
49,0,0,37498,40986,0
50,0,0,37407,40963,0
51,0,0,37339,40963,0
52,0,0,37294,40941,0
53,0,0,37226,40941,0
54,0,0,37158,40918,0
55,0,0,37113,40918,0
56,0,0,37045,40918,0
57,0,0,37000,40918,0
58,0,0,36909,40918,0
59,0,0,36819,40895,0
60,0,0,36751,40873,0
61,0,0,36660,40850,0
62,0,0,36615,40850,0
63,0,0,36524,40850,0
64,0,0,36434,40827,0
65,0,0,36366,40827,0
66,0,0,36343,40827,0
67,0,0,36320,40805,0
68,0,0,36298,40805,0
69,0,0,36253,40782,0
70,0,0,36185,40737,0
71,0,0,36139,40714,0
72,0,0,36117,40692,0
73,0,0,36094,40646,0
74,0,0,36049,40624,0
75,0,0,36049,40601,0
76,0,0,36003,40533,0
77,0,0,35981,40510,0
78,0,0,35958,40488,0
79,0,0,35936,40488,0
80,0,0,35890,40420,0
81,0,0,35822,40374,0
82,0,0,35732,40284,0
83,0,0,35664,40239,0
84,0,0,35596,40171,0
85,0,0,35528,40080,0
86,0,0,35505,40057,0
87,0,0,35392,39944,0
88,0,0,35324,39854,0
89,0,0,35279,39831,0
90,0,0,35256,39763,0
91,0,0,35211,39718,0
92,0,0,35143,39673,0
93,0,0,35075,39627,0
94,0,0,35007,39559,0
95,0,0,34984,39514,0
96,0,0,34894,39446,0
97,0,0,34803,39378,0
98,0,0,34713,39288,0
99,0,0,34667,39242,0
100,0,0,34667,39197,0
101,0,0,34645,39174,0
102,0,0,34600,39106,0
103,0,0,34600,39084,0
104,0,0,34577,39061,0
105,0,0,34554,39039,0
106,0,0,34509,38993,0
107,0,0,34509,38971,0
108,0,0,34464,38948,0
109,0,0,34464,38903,0
110,0,0,34418,38880,0
111,0,0,34418,38857,0
112,0,0,34373,38835,0
113,0,0,34350,38789,0
114,0,0,34328,38767,0
115,0,0,34260,38699,0
116,0,0,34237,38654,0
117,0,0,34192,38586,0
118,0,0,34169,38540,0
119,0,0,34147,38495,0
120,0,0,34147,38450,0
121,0,0,34124,38427,0
122,0,0,34101,38382,0
123,0,0,34079,38337,0
124,0,0,34079,38291,0
125,0,0,34079,38269,0
126,0,0,34079,38246,0
127,0,0,34079,38223,0
128,0,0,34079,38201,0
129,0,0,34056,38155,0
130,0,0,34056,38110,0
131,0,0,34033,38065,0
132,0,0,34033,38042,0
133,0,0,34033,38020,0
134,0,0,34033,37997,0
135,0,0,34011,37952,0
136,0,0,33988,37929,0
137,0,0,33988,37906,0
138,0,0,33966,37884,0
139,0,0,33920,37838,0
140,0,0,33875,37816,0
141,0,0,33852,37793,0
142,0,0,33830,37770,0
143,0,0,33807,37770,0
144,0,0,33784,37748,0
145,0,0,33762,37748,0
146,0,0,33739,37748,0
147,0,0,33694,37725,0
148,0,0,33671,37725,0
149,0,0,33649,37703,0
150,0,0,33626,37703,0
151,0,0,33603,37703,0
152,0,0,33581,37680,0
153,0,0,33535,37657,0
154,0,0,33490,37635,0
155,0,0,33467,37612,0
156,0,0,33445,37589,0
157,0,0,33399,37589,0
158,0,0,33354,37567,0
159,0,0,33264,37544,0
160,0,0,33218,37499,0
161,0,0,33196,37476,0
162,0,0,33150,37476,0
163,0,0,33105,37453,0
164,0,0,33082,37431,0
165,0,0,33060,37431,0
166,0,0,33014,37408,0
167,0,0,32947,37363,0
168,0,0,32879,37295,0
169,0,0,32856,37250,0
170,0,0,32833,37204,0
171,0,0,32765,37159,0
172,0,0,32720,37114,0
173,0,0,32652,37023,0
174,0,0,32630,37001,0
175,0,0,32607,36933,0
176,0,0,32584,36910,0
177,0,0,32516,36842,0
178,0,0,32494,36819,0
179,0,0,32471,36797,0
180,0,0,32448,36751,0
181,0,0,32426,36729,0
182,0,0,32380,36684,0
183,0,0,32358,36616,0
184,0,0,32290,36502,0
185,0,0,32222,36434,0
186,0,0,32177,36344,0
187,0,0,32154,36299,0
188,0,0,32131,36185,0
189,0,0,32041,36072,0
190,0,0,32018,35913,0
191,0,0,31996,35845,0
192,0,0,31950,35687,0
193,0,0,31928,35664,0
194,0,0,31882,35528,0
195,0,0,31860,35415,0
196,0,0,31837,35302,0
197,0,0,31792,35121,0
198,0,0,31746,34939,0
