Region_ID,Annotation,Id,Type,Zoom,Selected,ImageLocation,ImageFocus,Length,Area,LengthMicrons,AreaMicrons,Text,NegativeROA,InputRegionId,Analyze,DisplayId
0,0,1,0,0.044162,1,,-1,75713.1,172764736.0,38000.4,43520063.7,,0,0,1,1
1,0,2,0,0.470000,0,,-1,3270.6,109652.0,1641.5,27621.7,,1,0,1,2
2,0,3,0,0.470000,0,,-1,3082.8,79695.0,1547.2,20075.5,,1,0,1,3
3,0,4,0,0.600000,0,,-1,2648.8,48707.0,1329.5,12269.5,,1,0,1,4
4,1,1,4,0.027027,0,,-1,10470.9,0.0,5255.4,0.0,,0,0,0,1
5,1,2,4,0.027027,0,,-1,7374.9,0.0,3701.5,0.0,,0,0,0,2
6,1,3,4,0.027027,0,,-1,9124.5,0.0,4579.6,0.0,,0,0,0,3
7,1,4,4,0.027027,0,,-1,7859.6,0.0,3944.7,0.0,,0,0,0,4
8,1,5,4,0.027027,0,,-1,7252.3,0.0,3639.9,0.0,,0,0,0,5
9,1,6,4,0.027027,0,,-1,4847.1,0.0,2432.8,0.0,,0,0,0,6
10,1,7,4,0.027027,0,,-1,3343.1,0.0,1677.9,0.0,,0,0,0,7
11,1,8,4,0.027027,0,,-1,4327.9,0.0,2172.2,0.0,,0,0,0,8
12,1,9,4,0.027027,0,,-1,4507.4,0.0,2262.3,0.0,,0,0,0,9
13,1,10,4,0.027027,1,,-1,4932.2,0.0,2475.5,0.0,,0,0,0,10
