Point_ID,Annotation,Region,X,Y,Z
0,0,0,1737,16382,0
1,0,0,1784,16382,0
2,0,0,1878,16382,0
3,0,0,1925,16382,0
4,0,0,1972,16382,0
5,0,0,2019,16382,0
6,0,0,2066,16382,0
7,0,0,2112,16382,0
8,0,0,2206,16382,0
9,0,0,2253,16382,0
10,0,0,2300,16382,0
11,0,0,2347,16382,0
12,0,0,2394,16382,0
13,0,0,2441,16382,0
14,0,0,2488,16382,0
15,0,0,2535,16382,0
16,0,0,2629,16382,0
17,0,0,2676,16382,0
18,0,0,2723,16382,0
19,0,0,2770,16382,0
20,0,0,2817,16382,0
21,0,0,2864,16382,0
22,0,0,2957,16382,0
23,0,0,3051,16382,0
24,0,0,3098,16382,0
25,0,0,3145,16382,0
26,0,0,3239,16382,0
27,0,0,3333,16382,0
28,0,0,3474,16382,0
29,0,0,3521,16382,0
30,0,0,3615,16382,0
31,0,0,3708,16382,0
32,0,0,3990,16382,0
33,0,0,4037,16382,0
34,0,0,4178,16382,0
35,0,0,4366,16382,0
36,0,0,4459,16382,0
37,0,0,4553,16382,0
38,0,0,4647,16382,0
39,0,0,4788,16382,0
40,0,0,4929,16382,0
41,0,0,5023,16382,0
42,0,0,5211,16382,0
43,0,0,5351,16382,0
44,0,0,5445,16382,0
45,0,0,5539,16382,0
46,0,0,5633,16382,0
47,0,0,5680,16382,0
48,0,0,5821,16382,0
49,0,0,5915,16335,0
50,0,0,6009,16335,0
51,0,0,6055,16335,0
52,0,0,6196,16335,0
53,0,0,6243,16335,0
54,0,0,6290,16335,0
55,0,0,6384,16335,0
56,0,0,6525,16335,0
57,0,0,6619,16335,0
58,0,0,6760,16335,0
59,0,0,6853,16335,0
60,0,0,6947,16335,0
61,0,0,7041,16335,0
62,0,0,7135,16335,0
63,0,0,7229,16335,0
64,0,0,7276,16335,0
65,0,0,7370,16335,0
66,0,0,7417,16335,0
67,0,0,7558,16335,0
68,0,0,7605,16335,0
69,0,0,7792,16335,0
70,0,0,7839,16335,0
71,0,0,7980,16335,0
72,0,0,8074,16335,0
73,0,0,8262,16335,0
74,0,0,8309,16335,0
75,0,0,8356,16335,0
76,0,0,8403,16335,0
77,0,0,8449,16335,0
78,0,0,8496,16335,0
79,0,0,8590,16335,0
80,0,0,8637,16335,0
81,0,0,8684,16335,0
82,0,0,8731,16335,0
83,0,0,8778,16335,0
84,0,0,8825,16335,0
85,0,0,8872,16335,0
86,0,0,8919,16335,0
87,0,0,8966,16335,0
88,0,0,9013,16335,0
89,0,0,9060,16335,0
90,0,0,9107,16335,0
91,0,0,9154,16241,0
92,0,0,9200,16148,0
93,0,0,9341,15772,0
94,0,0,9388,15725,0
95,0,0,9388,15678,0
96,0,0,9435,15631,0
97,0,0,9435,15584,0
98,0,0,9435,15537,0
99,0,0,9482,15537,0
100,0,0,9482,15490,0
101,0,0,9529,15443,0
102,0,0,9529,15397,0
103,0,0,9529,15350,0
104,0,0,9576,15303,0
105,0,0,9576,15256,0
106,0,0,9576,15209,0
107,0,0,9623,15209,0
108,0,0,9623,15162,0
109,0,0,9670,15115,0
110,0,0,9670,15068,0
111,0,0,9670,15021,0
112,0,0,9670,14974,0
113,0,0,9717,14927,0
114,0,0,9717,14833,0
115,0,0,9717,14786,0
116,0,0,9764,14739,0
117,0,0,9764,14692,0
118,0,0,9811,14599,0
119,0,0,9811,14505,0
120,0,0,9811,14411,0
121,0,0,9811,14317,0
122,0,0,9811,14270,0
123,0,0,9811,14223,0
124,0,0,9858,14176,0
125,0,0,9858,14129,0
126,0,0,9858,14082,0
127,0,0,9858,14035,0
128,0,0,9858,13988,0
129,0,0,9858,13941,0
130,0,0,9858,13894,0
131,0,0,9858,13847,0
132,0,0,9858,13754,0
133,0,0,9858,13707,0
134,0,0,9858,13613,0
135,0,0,9858,13566,0
136,0,0,9858,13519,0
137,0,0,9858,13425,0
138,0,0,9858,13378,0
139,0,0,9858,13331,0
140,0,0,9858,13284,0
141,0,0,9905,13237,0
142,0,0,9905,13143,0
143,0,0,9905,13049,0
144,0,0,9905,12956,0
145,0,0,9905,12862,0
146,0,0,9905,12768,0
147,0,0,9905,12674,0
148,0,0,9905,12580,0
149,0,0,9905,12533,0
150,0,0,9905,12345,0
151,0,0,9905,12252,0
152,0,0,9905,12111,0
153,0,0,9905,12064,0
154,0,0,9858,12017,0
155,0,0,9858,11923,0
156,0,0,9858,11829,0
157,0,0,9858,11735,0
158,0,0,9858,11688,0
159,0,0,9858,11594,0
160,0,0,9858,11500,0
