Point_ID,Annotation,Region,X,Y,Z
0,0,0,41499,20321,0
1,0,0,41438,20321,0
2,0,0,41377,20321,0
3,0,0,41315,20321,0
4,0,0,41254,20321,0
5,0,0,41193,20321,0
6,0,0,41071,20321,0
7,0,0,41009,20321,0
8,0,0,40948,20321,0
9,0,0,40887,20321,0
10,0,0,40826,20321,0
11,0,0,40764,20321,0
12,0,0,40703,20321,0
13,0,0,40642,20321,0
14,0,0,40581,20321,0
15,0,0,40520,20321,0
16,0,0,40458,20321,0
17,0,0,40397,20321,0
18,0,0,40336,20321,0
19,0,0,40275,20321,0
20,0,0,40214,20321,0
21,0,0,40152,20321,0
22,0,0,40091,20321,0
23,0,0,40030,20321,0
24,0,0,39969,20321,0
25,0,0,39908,20321,0
26,0,0,39846,20321,0
27,0,0,39724,20321,0
28,0,0,39663,20321,0
29,0,0,39540,20321,0
30,0,0,39479,20321,0
31,0,0,39357,20321,0
32,0,0,39295,20321,0
33,0,0,39173,20321,0
34,0,0,39112,20321,0
35,0,0,38989,20321,0
36,0,0,38867,20321,0
37,0,0,38806,20321,0
38,0,0,38683,20321,0
39,0,0,38561,20321,0
40,0,0,38500,20321,0
41,0,0,38377,20321,0
42,0,0,38316,20321,0
43,0,0,38194,20321,0
44,0,0,38133,20382,0
45,0,0,38010,20382,0
46,0,0,37826,20382,0
47,0,0,37765,20382,0
48,0,0,37643,20443,0
49,0,0,37582,20443,0
50,0,0,37520,20443,0
51,0,0,37398,20443,0
52,0,0,37337,20443,0
53,0,0,37276,20443,0
54,0,0,37214,20505,0
55,0,0,37092,20505,0
56,0,0,37031,20505,0
57,0,0,36970,20505,0
58,0,0,36908,20505,0
59,0,0,36847,20505,0
60,0,0,36786,20566,0
61,0,0,36725,20566,0
62,0,0,36664,20566,0
63,0,0,36602,20627,0
64,0,0,36480,20688,0
65,0,0,36419,20688,0
66,0,0,36358,20688,0
67,0,0,36296,20688,0
68,0,0,36235,20749,0
69,0,0,36113,20811,0
70,0,0,36051,20811,0
71,0,0,36051,20872,0
72,0,0,35929,20872,0
73,0,0,35807,20933,0
74,0,0,35745,20994,0
75,0,0,35684,21056,0
76,0,0,35623,21056,0
77,0,0,35562,21056,0
78,0,0,35562,21117,0
79,0,0,35501,21178,0
80,0,0,35439,21178,0
81,0,0,35439,21239,0
82,0,0,35439,21300,0
83,0,0,35439,21362,0
84,0,0,35439,21423,0
85,0,0,35439,21484,0
86,0,0,35439,21606,0
87,0,0,35439,21668,0
88,0,0,35439,21729,0
89,0,0,35439,21790,0
90,0,0,35439,21851,0
91,0,0,35439,21912,0
92,0,0,35439,21974,0
93,0,0,35501,22035,0
94,0,0,35562,22096,0
95,0,0,35562,22157,0
96,0,0,35562,22218,0
97,0,0,35562,22280,0
98,0,0,35623,22280,0
99,0,0,35623,22341,0
100,0,0,35684,22402,0
101,0,0,35684,22463,0
102,0,0,35684,22524,0
103,0,0,35745,22586,0
104,0,0,35807,22647,0
105,0,0,35807,22769,0
106,0,0,35929,22831,0
107,0,0,35990,22892,0
108,0,0,35990,22953,0
109,0,0,36051,23014,0
110,0,0,36113,23014,0
111,0,0,36113,23075,0
112,0,0,36113,23137,0
113,0,0,36174,23137,0
114,0,0,36235,23198,0
115,0,0,36235,23259,0
116,0,0,36235,23320,0
117,0,0,36296,23320,0
118,0,0,36358,23381,0
119,0,0,36358,23443,0
120,0,0,36419,23504,0
121,0,0,36419,23565,0
122,0,0,36480,23565,0
123,0,0,36480,23626,0
124,0,0,36480,23687,0
125,0,0,36541,23687,0
126,0,0,36602,23749,0
127,0,0,36602,23810,0
128,0,0,36602,23871,0
129,0,0,36664,23932,0
130,0,0,36786,23809,0
131,0,0,36786,23871,0
132,0,0,36786,24299,0
133,0,0,36848,24544,0
134,0,0,36848,24789,0
135,0,0,36848,25095,0
136,0,0,36848,25890,0
137,0,0,36848,26319,0
138,0,0,36848,26747,0
139,0,0,36848,27176,0
140,0,0,36848,27482,0
141,0,0,36786,27849,0
142,0,0,36786,28094,0
143,0,0,36786,28400,0
144,0,0,36786,28645,0
145,0,0,36664,28951,0
146,0,0,36603,29196,0
147,0,0,36480,29441,0
148,0,0,36358,29747,0
149,0,0,36235,29930,0
150,0,0,36052,30236,0
151,0,0,35991,30481,0
152,0,0,35685,30848,0
153,0,0,35501,31154,0
154,0,0,35379,31399,0
155,0,0,35256,31705,0
156,0,0,35134,32011,0
157,0,0,35072,32195,0
158,0,0,35011,32440,0
159,0,0,34950,32685,0
160,0,0,34950,32868,0
161,0,0,34950,32991,0
162,0,0,34950,33113,0
163,0,0,34950,33297,0
164,0,0,34950,33419,0
165,0,0,35011,33419,0
166,0,0,35195,33541,0
167,0,0,35562,33664,0
168,0,0,35929,33725,0
169,0,0,35991,33725,0
170,0,0,36174,33725,0
171,0,0,36358,33603,0
172,0,0,36541,33541,0
173,0,0,36909,33358,0
174,0,0,37460,33235,0
175,0,0,37704,33113,0
176,0,0,37888,32991,0
177,0,0,38072,32807,0
178,0,0,38378,32562,0
179,0,0,38623,32317,0
180,0,0,38929,31950,0
181,0,0,39357,31583,0
182,0,0,39663,31277,0
183,0,0,40092,31032,0
184,0,0,40275,30848,0
185,0,0,40520,30603,0
186,0,0,40887,30236,0
187,0,0,41193,29930,0
188,0,0,41499,29685,0
189,0,0,41683,29441,0
190,0,0,42050,29073,0
191,0,0,42295,28828,0
192,0,0,42723,28522,0
193,0,0,42907,28400,0
194,0,0,43213,28216,0
195,0,0,43397,28094,0
196,0,0,43703,27972,0
197,0,0,43825,27910,0
198,0,0,44070,27849,0
199,0,0,44192,27849,0
200,0,0,44437,27849,0
201,0,0,44560,27849,0
202,0,0,44743,27910,0
203,0,0,44927,28033,0
204,0,0,45049,28339,0
205,0,0,45294,28706,0
206,0,0,45478,28951,0
207,0,0,45600,29257,0
208,0,0,45661,29685,0
209,0,0,45784,29991,0
210,0,0,45845,30297,0
211,0,0,45906,30726,0
212,0,0,46029,31277,0
213,0,0,46151,31705,0
214,0,0,46212,32195,0
215,0,0,46212,32440,0
216,0,0,46212,32991,0
217,0,0,46212,33235,0
218,0,0,46212,33664,0
219,0,0,46151,33909,0
220,0,0,46090,34092,0
221,0,0,46029,34337,0
222,0,0,45967,34521,0
223,0,0,45906,34704,0
224,0,0,45845,34888,0
225,0,0,45784,35010,0
226,0,0,45723,35133,0
227,0,0,45661,35316,0
228,0,0,45600,35439,0
229,0,0,45539,35561,0
230,0,0,45294,35806,0
231,0,0,45172,35929,0
232,0,0,44988,36051,0
233,0,0,44927,36173,0
234,0,0,44866,36173,0
235,0,0,44743,36296,0
236,0,0,44621,36296,0
237,0,0,44498,36357,0
238,0,0,44376,36357,0
239,0,0,44315,36418,0
240,0,0,44254,36418,0
241,0,0,44131,36418,0
242,0,0,44009,36418,0
243,0,0,43825,36479,0
244,0,0,43703,36479,0
245,0,0,43397,36479,0
246,0,0,43152,36479,0
247,0,0,42968,36479,0
248,0,0,42723,36479,0
249,0,0,42601,36479,0
250,0,0,42417,36479,0
251,0,0,42295,36541,0
252,0,0,42173,36541,0
253,0,0,42111,36602,0
254,0,0,42050,36663,0
255,0,0,41989,36785,0
256,0,0,41928,36908,0
257,0,0,41928,36969,0
258,0,0,41867,37091,0
259,0,0,41805,37214,0
260,0,0,41805,37398,0
261,0,0,41805,37520,0
262,0,0,41744,37642,0
263,0,0,41683,37765,0
264,0,0,41683,37887,0
265,0,0,41561,38010,0
266,0,0,41561,38132,0
267,0,0,41499,38193,0
268,0,0,41377,38377,0
269,0,0,41254,38438,0
270,0,0,41071,38683,0
271,0,0,40826,38928,0
272,0,0,40520,39173,0
273,0,0,40459,39295,0
274,0,0,40336,39356,0
275,0,0,40214,39417,0
276,0,0,40092,39417,0
277,0,0,39847,39540,0
278,0,0,39602,39540,0
279,0,0,39479,39601,0
280,0,0,39418,39662,0
281,0,0,39296,39662,0
282,0,0,39051,39662,0
283,0,0,38929,39662,0
284,0,0,38745,39662,0
285,0,0,38500,39662,0
286,0,0,38255,39662,0
287,0,0,37888,39662,0
288,0,0,37582,39662,0
289,0,0,37398,39662,0
290,0,0,37276,39662,0
291,0,0,36909,39662,0
292,0,0,36480,39662,0
293,0,0,36052,39662,0
294,0,0,35929,39662,0
