Region_ID,Annotation,Id,Type,Zoom,Selected,ImageLocation,ImageFocus,Length,Area,LengthMicrons,AreaMicrons,Text,NegativeROA,InputRegionId,Analyze,DisplayId
0,0,1,0,0.016338,0,,-1,104468.4,276687555.5,52432.7,69698598.9,,0,0,1,1
1,0,2,0,0.016338,1,,-1,94235.0,253650540.0,47296.6,63895491.1,,0,0,1,2
2,0,3,0,0.830000,0,,-1,158.6,1429.0,79.6,360.0,,1,0,1,3
3,0,4,0,0.730000,0,,-1,164.4,1583.5,82.5,398.9,,1,0,1,4
4,0,5,0,1,0,,-1,91.9,445.5,46.1,112.2,,1,0,1,5
5,0,6,0,0.520000,0,,-1,404.4,9056.0,203.0,2281.2,,1,0,1,6
6,0,7,0,0.520000,0,,-1,2861.8,182436.0,1436.4,45956.3,,1,0,1,7
7,0,8,0,1,0,,-1,72.2,287.0,36.2,72.3,,1,0,1,8
8,0,9,0,0.790000,0,,-1,479.1,13319.0,240.5,3355.1,,1,0,1,9
9,0,10,0,0.174736,0,,-1,1103.2,69540.5,553.7,17517.5,,1,0,1,10
10,0,11,0,1,0,,-1,86.8,439.0,43.6,110.6,,1,0,1,11
11,0,12,0,0.890000,0,,-1,111.6,748.5,56.0,188.5,,1,0,1,12
12,0,13,0,1,0,,-1,81.3,340.0,40.8,85.6,,1,0,1,13
13,0,14,0,0.690000,0,,-1,105.9,594.0,53.1,149.6,,1,0,1,14
14,0,15,0,1,0,,-1,84.8,409.5,42.6,103.2,,1,0,1,15
15,0,16,0,1,0,,-1,66.5,252.5,33.4,63.6,,1,0,1,16
16,0,17,0,1,0,,-1,106.4,607.0,53.4,152.9,,1,0,1,17
17,0,18,0,1,0,,-1,75.8,346.5,38.0,87.3,,1,0,1,18
18,0,19,0,1,0,,-1,69.8,299.5,35.0,75.4,,1,0,1,19
19,0,20,0,0.890000,0,,-1,74.8,320.0,37.6,80.6,,1,0,1,20
20,0,21,0,0.890000,0,,-1,102.9,586.0,51.7,147.6,,1,0,1,21
21,0,22,0,1,0,,-1,112.8,729.5,56.6,183.8,,1,0,1,22
22,0,23,0,1,0,,-1,76.6,343.5,38.4,86.5,,1,0,1,23
23,0,24,0,1,0,,-1,70.0,300.5,35.1,75.7,,1,0,1,24
